"clusterID_seq","window_type","sum_c","mean_p","mean_f","Nhat","TO_mean","riparian_area_sum","catchment_area_max","contains_null","time_period","SWA","t"
"1","dammed",2,0.914310896148408,0.0259661170311753,2.24575324363287,35.8548540813878,2429.32555361791,947.465,FALSE,"sum_SWA_t1",0,"1"
"1","dammed",2,0.914310896148408,0.0259661170311753,2.24575324363287,35.8548540813878,2429.32555361791,947.465,FALSE,"sum_SWA_t2",0,"2"
"1","dammed",2,0.914310896148408,0.0259661170311753,2.24575324363287,35.8548540813878,2429.32555361791,947.465,FALSE,"sum_SWA_t3",0,"3"
"1","dammed",2,0.914310896148408,0.0259661170311753,2.24575324363287,35.8548540813878,2429.32555361791,947.465,FALSE,"sum_SWA_t4",49.4931440334694,"4"
"1","dammed",2,0.914310896148408,0.0259661170311753,2.24575324363287,35.8548540813878,2429.32555361791,947.465,FALSE,"sum_SWA_t5",0,"5"
"1","dammed",2,0.914310896148408,0.0259661170311753,2.24575324363287,35.8548540813878,2429.32555361791,947.465,FALSE,"sum_SWA_t6",0,"6"
"1","dammed",2,0.914310896148408,0.0259661170311753,2.24575324363287,35.8548540813878,2429.32555361791,947.465,FALSE,"sum_SWA_t7",0,"7"
"1","dammed",2,0.914310896148408,0.0259661170311753,2.24575324363287,35.8548540813878,2429.32555361791,947.465,FALSE,"sum_SWA_t8",0,"8"
"1","undammed",0,0.91995406597871,0.0255653026078821,0,38.2247053097554,3316.61748619936,892.65967,FALSE,"sum_SWA_t1",0,"1"
"1","undammed",0,0.91995406597871,0.0255653026078821,0,38.2247053097554,3316.61748619936,892.65967,FALSE,"sum_SWA_t2",0,"2"
"1","undammed",0,0.91995406597871,0.0255653026078821,0,38.2247053097554,3316.61748619936,892.65967,FALSE,"sum_SWA_t3",0,"3"
"1","undammed",0,0.91995406597871,0.0255653026078821,0,38.2247053097554,3316.61748619936,892.65967,FALSE,"sum_SWA_t4",595.115496226619,"4"
"1","undammed",0,0.91995406597871,0.0255653026078821,0,38.2247053097554,3316.61748619936,892.65967,FALSE,"sum_SWA_t5",0,"5"
"1","undammed",0,0.91995406597871,0.0255653026078821,0,38.2247053097554,3316.61748619936,892.65967,FALSE,"sum_SWA_t6",97.0751028142723,"6"
"1","undammed",0,0.91995406597871,0.0255653026078821,0,38.2247053097554,3316.61748619936,892.65967,FALSE,"sum_SWA_t7",253.093133184255,"7"
"1","undammed",0,0.91995406597871,0.0255653026078821,0,38.2247053097554,3316.61748619936,892.65967,FALSE,"sum_SWA_t8",0,"8"
"2","dammed",5,0.918415179339744,0.0244039040846531,5.58034304630494,39.2541829970805,11141.0189869236,893.6354,FALSE,"sum_SWA_t1",57.694714706318,"1"
"2","dammed",5,0.918415179339744,0.0244039040846531,5.58034304630494,39.2541829970805,11141.0189869236,893.6354,FALSE,"sum_SWA_t2",57.694714706318,"2"
"2","dammed",5,0.918415179339744,0.0244039040846531,5.58034304630494,39.2541829970805,11141.0189869236,893.6354,FALSE,"sum_SWA_t3",0,"3"
"2","dammed",5,0.918415179339744,0.0244039040846531,5.58034304630494,39.2541829970805,11141.0189869236,893.6354,FALSE,"sum_SWA_t4",793.767346782077,"4"
"2","dammed",5,0.918415179339744,0.0244039040846531,5.58034304630494,39.2541829970805,11141.0189869236,893.6354,FALSE,"sum_SWA_t5",59.5493681720659,"5"
"2","dammed",5,0.918415179339744,0.0244039040846531,5.58034304630494,39.2541829970805,11141.0189869236,893.6354,FALSE,"sum_SWA_t6",1.47694881429859,"6"
"2","dammed",5,0.918415179339744,0.0244039040846531,5.58034304630494,39.2541829970805,11141.0189869236,893.6354,FALSE,"sum_SWA_t7",242.792021590822,"7"
"2","dammed",5,0.918415179339744,0.0244039040846531,5.58034304630494,39.2541829970805,11141.0189869236,893.6354,FALSE,"sum_SWA_t8",226.366643214226,"8"
"2","undammed",0,0.918194824500108,0.024022757974995,0,51.7340414607566,27305.1544293799,890.61084,FALSE,"sum_SWA_t1",6384.82732881004,"1"
"2","undammed",0,0.918194824500108,0.024022757974995,0,51.7340414607566,27305.1544293799,890.61084,FALSE,"sum_SWA_t2",5198.02897892068,"2"
"2","undammed",0,0.918194824500108,0.024022757974995,0,51.7340414607566,27305.1544293799,890.61084,FALSE,"sum_SWA_t3",4125.18734773842,"3"
"2","undammed",0,0.918194824500108,0.024022757974995,0,51.7340414607566,27305.1544293799,890.61084,FALSE,"sum_SWA_t4",9177.49438390615,"4"
"2","undammed",0,0.918194824500108,0.024022757974995,0,51.7340414607566,27305.1544293799,890.61084,FALSE,"sum_SWA_t5",5770.84597159577,"5"
"2","undammed",0,0.918194824500108,0.024022757974995,0,51.7340414607566,27305.1544293799,890.61084,FALSE,"sum_SWA_t6",9115.23063843133,"6"
"2","undammed",0,0.918194824500108,0.024022757974995,0,51.7340414607566,27305.1544293799,890.61084,FALSE,"sum_SWA_t7",6023.33733347187,"7"
"2","undammed",0,0.918194824500108,0.024022757974995,0,51.7340414607566,27305.1544293799,890.61084,FALSE,"sum_SWA_t8",2038.47200760047,"8"
"6","dammed",1,0.952334323888776,0.0319686034163828,1.08472867113146,47.595991150256,1015.87941462919,793.3075,FALSE,"sum_SWA_t1",0,"1"
"6","dammed",1,0.952334323888776,0.0319686034163828,1.08472867113146,47.595991150256,1015.87941462919,793.3075,FALSE,"sum_SWA_t2",0,"2"
"6","dammed",1,0.952334323888776,0.0319686034163828,1.08472867113146,47.595991150256,1015.87941462919,793.3075,FALSE,"sum_SWA_t3",0,"3"
"6","dammed",1,0.952334323888776,0.0319686034163828,1.08472867113146,47.595991150256,1015.87941462919,793.3075,FALSE,"sum_SWA_t4",171.671456386763,"4"
"6","dammed",1,0.952334323888776,0.0319686034163828,1.08472867113146,47.595991150256,1015.87941462919,793.3075,FALSE,"sum_SWA_t5",214.015984358507,"5"
"6","dammed",1,0.952334323888776,0.0319686034163828,1.08472867113146,47.595991150256,1015.87941462919,793.3075,FALSE,"sum_SWA_t6",205.954089998731,"6"
"6","dammed",1,0.952334323888776,0.0319686034163828,1.08472867113146,47.595991150256,1015.87941462919,793.3075,FALSE,"sum_SWA_t7",0,"7"
"6","dammed",1,0.952334323888776,0.0319686034163828,1.08472867113146,47.595991150256,1015.87941462919,793.3075,FALSE,"sum_SWA_t8",127.986767563399,"8"
"6","undammed",0,0.925812899722644,0.0256113324098481,0,44.6465577145959,1223.14147779718,793.6444,FALSE,"sum_SWA_t1",0,"1"
"6","undammed",0,0.925812899722644,0.0256113324098481,0,44.6465577145959,1223.14147779718,793.6444,FALSE,"sum_SWA_t2",0,"2"
"6","undammed",0,0.925812899722644,0.0256113324098481,0,44.6465577145959,1223.14147779718,793.6444,FALSE,"sum_SWA_t3",0,"3"
"6","undammed",0,0.925812899722644,0.0256113324098481,0,44.6465577145959,1223.14147779718,793.6444,FALSE,"sum_SWA_t4",0,"4"
"6","undammed",0,0.925812899722644,0.0256113324098481,0,44.6465577145959,1223.14147779718,793.6444,FALSE,"sum_SWA_t5",0,"5"
"6","undammed",0,0.925812899722644,0.0256113324098481,0,44.6465577145959,1223.14147779718,793.6444,FALSE,"sum_SWA_t6",0,"6"
"6","undammed",0,0.925812899722644,0.0256113324098481,0,44.6465577145959,1223.14147779718,793.6444,FALSE,"sum_SWA_t7",0,"7"
"6","undammed",0,0.925812899722644,0.0256113324098481,0,44.6465577145959,1223.14147779718,793.6444,FALSE,"sum_SWA_t8",0,"8"
"7","dammed",1,0.890166987285975,0.019590070178855,1.14583165172088,47.0686103371589,1063.98380033299,786.7853,FALSE,"sum_SWA_t1",0,"1"
"7","dammed",1,0.890166987285975,0.019590070178855,1.14583165172088,47.0686103371589,1063.98380033299,786.7853,FALSE,"sum_SWA_t2",0,"2"
"7","dammed",1,0.890166987285975,0.019590070178855,1.14583165172088,47.0686103371589,1063.98380033299,786.7853,FALSE,"sum_SWA_t3",0,"3"
"7","dammed",1,0.890166987285975,0.019590070178855,1.14583165172088,47.0686103371589,1063.98380033299,786.7853,FALSE,"sum_SWA_t4",2.5058229991034,"4"
"7","dammed",1,0.890166987285975,0.019590070178855,1.14583165172088,47.0686103371589,1063.98380033299,786.7853,FALSE,"sum_SWA_t5",0,"5"
"7","dammed",1,0.890166987285975,0.019590070178855,1.14583165172088,47.0686103371589,1063.98380033299,786.7853,FALSE,"sum_SWA_t6",0,"6"
"7","dammed",1,0.890166987285975,0.019590070178855,1.14583165172088,47.0686103371589,1063.98380033299,786.7853,FALSE,"sum_SWA_t7",0,"7"
"7","dammed",1,0.890166987285975,0.019590070178855,1.14583165172088,47.0686103371589,1063.98380033299,786.7853,FALSE,"sum_SWA_t8",0,"8"
"7","undammed",0,0.908729843838496,0.0200805087927276,0,53.5168167219737,1657.74743062258,786.7853,FALSE,"sum_SWA_t1",0,"1"
"7","undammed",0,0.908729843838496,0.0200805087927276,0,53.5168167219737,1657.74743062258,786.7853,FALSE,"sum_SWA_t2",0,"2"
"7","undammed",0,0.908729843838496,0.0200805087927276,0,53.5168167219737,1657.74743062258,786.7853,FALSE,"sum_SWA_t3",0,"3"
"7","undammed",0,0.908729843838496,0.0200805087927276,0,53.5168167219737,1657.74743062258,786.7853,FALSE,"sum_SWA_t4",132.192839137947,"4"
"7","undammed",0,0.908729843838496,0.0200805087927276,0,53.5168167219737,1657.74743062258,786.7853,FALSE,"sum_SWA_t5",73.307475632546,"5"
"7","undammed",0,0.908729843838496,0.0200805087927276,0,53.5168167219737,1657.74743062258,786.7853,FALSE,"sum_SWA_t6",0,"6"
"7","undammed",0,0.908729843838496,0.0200805087927276,0,53.5168167219737,1657.74743062258,786.7853,FALSE,"sum_SWA_t7",0,"7"
"7","undammed",0,0.908729843838496,0.0200805087927276,0,53.5168167219737,1657.74743062258,786.7853,FALSE,"sum_SWA_t8",0,"8"
"8","dammed",1,0.90830774060928,0.0378402811813873,1.14424708227355,44.5069677549162,917.686149884015,786.76245,FALSE,"sum_SWA_t1",0,"1"
"8","dammed",1,0.90830774060928,0.0378402811813873,1.14424708227355,44.5069677549162,917.686149884015,786.76245,FALSE,"sum_SWA_t2",0,"2"
"8","dammed",1,0.90830774060928,0.0378402811813873,1.14424708227355,44.5069677549162,917.686149884015,786.76245,FALSE,"sum_SWA_t3",0,"3"
"8","dammed",1,0.90830774060928,0.0378402811813873,1.14424708227355,44.5069677549162,917.686149884015,786.76245,FALSE,"sum_SWA_t4",0,"4"
"8","dammed",1,0.90830774060928,0.0378402811813873,1.14424708227355,44.5069677549162,917.686149884015,786.76245,FALSE,"sum_SWA_t5",0,"5"
"8","dammed",1,0.90830774060928,0.0378402811813873,1.14424708227355,44.5069677549162,917.686149884015,786.76245,FALSE,"sum_SWA_t6",0,"6"
"8","dammed",1,0.90830774060928,0.0378402811813873,1.14424708227355,44.5069677549162,917.686149884015,786.76245,FALSE,"sum_SWA_t7",0,"7"
"8","dammed",1,0.90830774060928,0.0378402811813873,1.14424708227355,44.5069677549162,917.686149884015,786.76245,FALSE,"sum_SWA_t8",0,"8"
"8","undammed",0,0.91626673659556,0.0215331905037277,0,52.5220163240293,1204.86517482996,786.76245,FALSE,"sum_SWA_t1",0,"1"
"8","undammed",0,0.91626673659556,0.0215331905037277,0,52.5220163240293,1204.86517482996,786.76245,FALSE,"sum_SWA_t2",0,"2"
"8","undammed",0,0.91626673659556,0.0215331905037277,0,52.5220163240293,1204.86517482996,786.76245,FALSE,"sum_SWA_t3",0,"3"
"8","undammed",0,0.91626673659556,0.0215331905037277,0,52.5220163240293,1204.86517482996,786.76245,FALSE,"sum_SWA_t4",304.276373125993,"4"
"8","undammed",0,0.91626673659556,0.0215331905037277,0,52.5220163240293,1204.86517482996,786.76245,FALSE,"sum_SWA_t5",294.119493135985,"5"
"8","undammed",0,0.91626673659556,0.0215331905037277,0,52.5220163240293,1204.86517482996,786.76245,FALSE,"sum_SWA_t6",0,"6"
"8","undammed",0,0.91626673659556,0.0215331905037277,0,52.5220163240293,1204.86517482996,786.76245,FALSE,"sum_SWA_t7",0,"7"
"8","undammed",0,0.91626673659556,0.0215331905037277,0,52.5220163240293,1204.86517482996,786.76245,FALSE,"sum_SWA_t8",0,"8"
"10","dammed",1,0.914019154093483,0.0231393697481845,1.11998471650758,50.1513777702972,1113.09311014041,782.33514,FALSE,"sum_SWA_t1",75.8050643137857,"1"
"10","dammed",1,0.914019154093483,0.0231393697481845,1.11998471650758,50.1513777702972,1113.09311014041,782.33514,FALSE,"sum_SWA_t2",0,"2"
"10","dammed",1,0.914019154093483,0.0231393697481845,1.11998471650758,50.1513777702972,1113.09311014041,782.33514,FALSE,"sum_SWA_t3",0,"3"
"10","dammed",1,0.914019154093483,0.0231393697481845,1.11998471650758,50.1513777702972,1113.09311014041,782.33514,FALSE,"sum_SWA_t4",3.46620310428096,"4"
"10","dammed",1,0.914019154093483,0.0231393697481845,1.11998471650758,50.1513777702972,1113.09311014041,782.33514,FALSE,"sum_SWA_t5",91.6730218265571,"5"
"10","dammed",1,0.914019154093483,0.0231393697481845,1.11998471650758,50.1513777702972,1113.09311014041,782.33514,FALSE,"sum_SWA_t6",0,"6"
"10","dammed",1,0.914019154093483,0.0231393697481845,1.11998471650758,50.1513777702972,1113.09311014041,782.33514,FALSE,"sum_SWA_t7",0,"7"
"10","dammed",1,0.914019154093483,0.0231393697481845,1.11998471650758,50.1513777702972,1113.09311014041,782.33514,FALSE,"sum_SWA_t8",160.281994456637,"8"
"10","undammed",0,0.913895221969884,0.0246888594310227,0,41.2324517452835,827.656909506768,783.6661,FALSE,"sum_SWA_t1",0,"1"
"10","undammed",0,0.913895221969884,0.0246888594310227,0,41.2324517452835,827.656909506768,783.6661,FALSE,"sum_SWA_t2",0,"2"
"10","undammed",0,0.913895221969884,0.0246888594310227,0,41.2324517452835,827.656909506768,783.6661,FALSE,"sum_SWA_t3",0,"3"
"10","undammed",0,0.913895221969884,0.0246888594310227,0,41.2324517452835,827.656909506768,783.6661,FALSE,"sum_SWA_t4",0,"4"
"10","undammed",0,0.913895221969884,0.0246888594310227,0,41.2324517452835,827.656909506768,783.6661,FALSE,"sum_SWA_t5",0,"5"
"10","undammed",0,0.913895221969884,0.0246888594310227,0,41.2324517452835,827.656909506768,783.6661,FALSE,"sum_SWA_t6",0,"6"
"10","undammed",0,0.913895221969884,0.0246888594310227,0,41.2324517452835,827.656909506768,783.6661,FALSE,"sum_SWA_t7",0,"7"
"10","undammed",0,0.913895221969884,0.0246888594310227,0,41.2324517452835,827.656909506768,783.6661,FALSE,"sum_SWA_t8",0,"8"
"13","dammed",1,0.918266024486253,0.0317463941584785,1.12471467338743,28.6331718299201,637.086137264967,672.38104,FALSE,"sum_SWA_t1",0,"1"
"13","dammed",1,0.918266024486253,0.0317463941584785,1.12471467338743,28.6331718299201,637.086137264967,672.38104,FALSE,"sum_SWA_t2",0,"2"
"13","dammed",1,0.918266024486253,0.0317463941584785,1.12471467338743,28.6331718299201,637.086137264967,672.38104,FALSE,"sum_SWA_t3",0,"3"
"13","dammed",1,0.918266024486253,0.0317463941584785,1.12471467338743,28.6331718299201,637.086137264967,672.38104,FALSE,"sum_SWA_t4",0,"4"
"13","dammed",1,0.918266024486253,0.0317463941584785,1.12471467338743,28.6331718299201,637.086137264967,672.38104,FALSE,"sum_SWA_t5",0,"5"
"13","dammed",1,0.918266024486253,0.0317463941584785,1.12471467338743,28.6331718299201,637.086137264967,672.38104,FALSE,"sum_SWA_t6",0,"6"
"13","dammed",1,0.918266024486253,0.0317463941584785,1.12471467338743,28.6331718299201,637.086137264967,672.38104,FALSE,"sum_SWA_t7",0,"7"
"13","dammed",1,0.918266024486253,0.0317463941584785,1.12471467338743,28.6331718299201,637.086137264967,672.38104,FALSE,"sum_SWA_t8",0,"8"
"13","undammed",0,0.917424133655924,0.0258902941697545,0,38.124139994467,964.540696900338,673.1926,FALSE,"sum_SWA_t1",184.809862689411,"1"
"13","undammed",0,0.917424133655924,0.0258902941697545,0,38.124139994467,964.540696900338,673.1926,FALSE,"sum_SWA_t2",206.041512110888,"2"
"13","undammed",0,0.917424133655924,0.0258902941697545,0,38.124139994467,964.540696900338,673.1926,FALSE,"sum_SWA_t3",187.755739960483,"3"
"13","undammed",0,0.917424133655924,0.0258902941697545,0,38.124139994467,964.540696900338,673.1926,FALSE,"sum_SWA_t4",187.434672108585,"4"
"13","undammed",0,0.917424133655924,0.0258902941697545,0,38.124139994467,964.540696900338,673.1926,FALSE,"sum_SWA_t5",0,"5"
"13","undammed",0,0.917424133655924,0.0258902941697545,0,38.124139994467,964.540696900338,673.1926,FALSE,"sum_SWA_t6",206.041512110888,"6"
"13","undammed",0,0.917424133655924,0.0258902941697545,0,38.124139994467,964.540696900338,673.1926,FALSE,"sum_SWA_t7",106.711509601275,"7"
"13","undammed",0,0.917424133655924,0.0258902941697545,0,38.124139994467,964.540696900338,673.1926,FALSE,"sum_SWA_t8",106.711509601275,"8"
"14","dammed",1,0.889544077584642,0.0413162461356446,1.17261962877248,38.8628103284512,811.737715400755,636.3272,FALSE,"sum_SWA_t1",0,"1"
"14","dammed",1,0.889544077584642,0.0413162461356446,1.17261962877248,38.8628103284512,811.737715400755,636.3272,FALSE,"sum_SWA_t2",0,"2"
"14","dammed",1,0.889544077584642,0.0413162461356446,1.17261962877248,38.8628103284512,811.737715400755,636.3272,FALSE,"sum_SWA_t3",0,"3"
"14","dammed",1,0.889544077584642,0.0413162461356446,1.17261962877248,38.8628103284512,811.737715400755,636.3272,FALSE,"sum_SWA_t4",0,"4"
"14","dammed",1,0.889544077584642,0.0413162461356446,1.17261962877248,38.8628103284512,811.737715400755,636.3272,FALSE,"sum_SWA_t5",0,"5"
"14","dammed",1,0.889544077584642,0.0413162461356446,1.17261962877248,38.8628103284512,811.737715400755,636.3272,FALSE,"sum_SWA_t6",0,"6"
"14","dammed",1,0.889544077584642,0.0413162461356446,1.17261962877248,38.8628103284512,811.737715400755,636.3272,FALSE,"sum_SWA_t7",0,"7"
"14","dammed",1,0.889544077584642,0.0413162461356446,1.17261962877248,38.8628103284512,811.737715400755,636.3272,FALSE,"sum_SWA_t8",0,"8"
"14","undammed",0,0.922294816460125,0.0266157130802983,0,46.460349035284,1125.05718439817,636.7448,FALSE,"sum_SWA_t1",265.729666125774,"1"
"14","undammed",0,0.922294816460125,0.0266157130802983,0,46.460349035284,1125.05718439817,636.7448,FALSE,"sum_SWA_t2",182.881469005697,"2"
"14","undammed",0,0.922294816460125,0.0266157130802983,0,46.460349035284,1125.05718439817,636.7448,FALSE,"sum_SWA_t3",381.825718237138,"3"
"14","undammed",0,0.922294816460125,0.0266157130802983,0,46.460349035284,1125.05718439817,636.7448,FALSE,"sum_SWA_t4",327.921934128976,"4"
"14","undammed",0,0.922294816460125,0.0266157130802983,0,46.460349035284,1125.05718439817,636.7448,FALSE,"sum_SWA_t5",296.248647676028,"5"
"14","undammed",0,0.922294816460125,0.0266157130802983,0,46.460349035284,1125.05718439817,636.7448,FALSE,"sum_SWA_t6",484.371092967894,"6"
"14","undammed",0,0.922294816460125,0.0266157130802983,0,46.460349035284,1125.05718439817,636.7448,FALSE,"sum_SWA_t7",402.538374727146,"7"
"14","undammed",0,0.922294816460125,0.0266157130802983,0,46.460349035284,1125.05718439817,636.7448,FALSE,"sum_SWA_t8",318.055730324867,"8"
"15","dammed",1,0.906386740742831,0.0229200454082865,1.12916225589014,45.2936656911714,1034.78143976629,543.2517,FALSE,"sum_SWA_t1",0,"1"
"15","dammed",1,0.906386740742831,0.0229200454082865,1.12916225589014,45.2936656911714,1034.78143976629,543.2517,FALSE,"sum_SWA_t2",88.6083888862647,"2"
"15","dammed",1,0.906386740742831,0.0229200454082865,1.12916225589014,45.2936656911714,1034.78143976629,543.2517,FALSE,"sum_SWA_t3",88.6083888862647,"3"
"15","dammed",1,0.906386740742831,0.0229200454082865,1.12916225589014,45.2936656911714,1034.78143976629,543.2517,FALSE,"sum_SWA_t4",179.772489929433,"4"
"15","dammed",1,0.906386740742831,0.0229200454082865,1.12916225589014,45.2936656911714,1034.78143976629,543.2517,FALSE,"sum_SWA_t5",0,"5"
"15","dammed",1,0.906386740742831,0.0229200454082865,1.12916225589014,45.2936656911714,1034.78143976629,543.2517,FALSE,"sum_SWA_t6",88.6083888862647,"6"
"15","dammed",1,0.906386740742831,0.0229200454082865,1.12916225589014,45.2936656911714,1034.78143976629,543.2517,FALSE,"sum_SWA_t7",0,"7"
"15","dammed",1,0.906386740742831,0.0229200454082865,1.12916225589014,45.2936656911714,1034.78143976629,543.2517,FALSE,"sum_SWA_t8",0,"8"
"15","undammed",0,0.921463920996024,0.0248433092895296,0,39.1053983368925,744.086325064301,543.7039,FALSE,"sum_SWA_t1",0,"1"
"15","undammed",0,0.921463920996024,0.0248433092895296,0,39.1053983368925,744.086325064301,543.7039,FALSE,"sum_SWA_t2",0,"2"
"15","undammed",0,0.921463920996024,0.0248433092895296,0,39.1053983368925,744.086325064301,543.7039,FALSE,"sum_SWA_t3",0,"3"
"15","undammed",0,0.921463920996024,0.0248433092895296,0,39.1053983368925,744.086325064301,543.7039,FALSE,"sum_SWA_t4",0,"4"
"15","undammed",0,0.921463920996024,0.0248433092895296,0,39.1053983368925,744.086325064301,543.7039,FALSE,"sum_SWA_t5",0,"5"
"15","undammed",0,0.921463920996024,0.0248433092895296,0,39.1053983368925,744.086325064301,543.7039,FALSE,"sum_SWA_t6",0,"6"
"15","undammed",0,0.921463920996024,0.0248433092895296,0,39.1053983368925,744.086325064301,543.7039,FALSE,"sum_SWA_t7",0,"7"
"15","undammed",0,0.921463920996024,0.0248433092895296,0,39.1053983368925,744.086325064301,543.7039,FALSE,"sum_SWA_t8",0,"8"
"16","dammed",1,0.884985045309549,0.0215220838767866,1.15481665785499,50.831976525258,1067.91828615963,519.8411,FALSE,"sum_SWA_t1",123.405745846384,"1"
"16","dammed",1,0.884985045309549,0.0215220838767866,1.15481665785499,50.831976525258,1067.91828615963,519.8411,FALSE,"sum_SWA_t2",0,"2"
"16","dammed",1,0.884985045309549,0.0215220838767866,1.15481665785499,50.831976525258,1067.91828615963,519.8411,FALSE,"sum_SWA_t3",0,"3"
"16","dammed",1,0.884985045309549,0.0215220838767866,1.15481665785499,50.831976525258,1067.91828615963,519.8411,FALSE,"sum_SWA_t4",0,"4"
"16","dammed",1,0.884985045309549,0.0215220838767866,1.15481665785499,50.831976525258,1067.91828615963,519.8411,FALSE,"sum_SWA_t5",0,"5"
"16","dammed",1,0.884985045309549,0.0215220838767866,1.15481665785499,50.831976525258,1067.91828615963,519.8411,FALSE,"sum_SWA_t6",0,"6"
"16","dammed",1,0.884985045309549,0.0215220838767866,1.15481665785499,50.831976525258,1067.91828615963,519.8411,FALSE,"sum_SWA_t7",0,"7"
